,can0_ESP_v_Signal [Unit_KiloMeterPerHour],can0_ESP_Bremsdruck [Unit_Bar],can0_ESP_Laengsbeschl [Unit_MeterPerSeconSquar]
83953,5.67,0.0,2.4375
83954,5.74,0.0,2.53125
83955,5.74,0.0,2.53125
83956,5.92,0.0,2.53125
83957,5.92,0.0,2.53125
83958,6.24,0.0,2.625
83959,6.24,0.0,2.625
83960,6.49,0.0,2.625
83961,6.49,0.0,2.625
83962,6.63,0.2999999999999972,2.625
83963,6.63,0.2999999999999972,2.625
83964,6.72,0.0,2.625
83965,6.72,0.0,2.625
83966,7.0600000000000005,0.2999999999999972,2.71875
83967,7.0600000000000005,0.2999999999999972,2.71875
83968,7.4,0.0,2.71875
83969,7.4,0.0,2.71875
83970,7.55,0.0,2.71875
83971,7.55,0.0,2.71875
83972,7.65,0.0,2.71875
83973,7.65,0.0,2.71875
83974,7.85,0.0,2.71875
83975,7.85,0.0,2.71875
83976,8.19,0.0,2.71875
83977,8.19,0.0,2.71875
83978,8.48,0.0,2.71875
83979,8.48,0.0,2.71875
83980,8.61,0.2999999999999972,2.71875
83981,8.61,0.2999999999999972,2.71875
83982,8.8,0.2999999999999972,2.71875
83983,8.8,0.2999999999999972,2.71875
83984,8.94,0.0,2.84375
83985,8.94,0.0,2.84375
83986,9.27,0.2999999999999972,2.84375
83987,9.27,0.2999999999999972,2.84375
83988,9.55,0.0,2.84375
83989,9.55,0.0,2.84375
83990,9.67,0.0,2.71875
83991,9.67,0.0,2.71875
83992,9.94,0.0,2.71875
83993,9.94,0.0,2.71875
83994,10.17,0.0,2.71875
83995,10.17,0.0,2.71875
83996,10.37,0.0,2.71875
83997,10.37,0.0,2.71875
83998,10.53,0.0,2.71875
83999,10.53,0.0,2.71875
84000,10.72,0.0,2.71875
84001,10.72,0.0,2.71875
84002,10.91,0.0,2.71875
84003,10.91,0.0,2.71875
84004,11.24,0.0,2.71875
84005,11.24,0.0,2.71875
84006,11.32,0.0,2.71875
84007,11.32,0.0,2.71875
84008,11.58,0.0,2.625
84009,11.58,0.0,2.625
84010,11.61,0.2999999999999972,2.625
84011,11.61,0.2999999999999972,2.625
84012,11.78,0.2999999999999972,2.625
84013,11.78,0.2999999999999972,2.625
84014,11.97,0.2999999999999972,2.53125
84015,11.97,0.2999999999999972,2.53125
84016,12.16,0.0,2.4375
84017,12.16,0.0,2.4375
84018,12.36,0.0,2.34375
84019,12.36,0.0,2.34375
84020,12.45,0.0,2.25
84021,12.45,0.0,2.25
84022,12.62,0.0,2.15625
84023,12.62,0.0,2.15625
84024,12.73,0.0,2.03125
84025,12.73,0.0,2.03125
84026,12.85,0.0,1.9375
84027,12.85,0.0,1.9375
84028,12.87,0.0,1.84375
84029,12.87,0.0,1.84375
84030,13.07,0.0,1.84375
84031,13.07,0.0,1.84375
84032,13.13,0.0,1.75
84033,13.13,0.0,1.75
84034,13.2,0.0,1.65625
84035,13.2,0.0,1.65625
84036,13.31,0.0,1.5625
84037,13.31,0.0,1.5625
84038,13.38,0.0,1.46875
84039,13.38,0.0,1.46875
84040,13.48,0.0,1.34375
84041,13.48,0.0,1.34375
84042,13.55,0.0,1.25
84043,13.55,0.0,1.25
84044,13.67,0.2999999999999972,1.15625
84045,13.67,0.2999999999999972,1.15625
84046,13.72,0.0,1.0625
84047,13.72,0.0,1.0625
84048,13.78,0.0,0.96875
84049,13.78,0.0,0.96875
84050,13.89,0.0,0.875
84051,13.89,0.0,0.875
84052,13.91,0.0,0.78125
84053,13.91,0.0,0.78125
84054,13.95,0.0,0.78125
84055,13.95,0.0,0.78125
84056,14.0,0.0,0.65625
84057,14.0,0.0,0.65625
84058,14.05,0.0,0.65625
84059,14.05,0.0,0.65625
84060,14.08,0.0,0.5625
84061,14.08,0.0,0.5625
84062,14.22,0.0,0.5625
84063,14.22,0.0,0.5625
84064,14.23,0.2999999999999972,0.5625
84065,14.23,0.2999999999999972,0.5625
84066,14.25,0.0,0.5625
84067,14.25,0.0,0.5625
84068,14.36,0.0,0.46875
84069,14.36,0.0,0.46875
84070,14.42,0.0,0.46875
84071,14.42,0.0,0.46875
84072,14.5,0.0,0.46875
84073,14.5,0.0,0.46875
84074,14.56,0.0,0.46875
84075,14.56,0.0,0.46875
84076,14.59,0.0,0.46875
84077,14.59,0.0,0.46875
84078,14.72,0.0,0.46875
84079,14.72,0.0,0.46875
84080,14.77,0.2999999999999972,0.5625
84081,14.77,0.2999999999999972,0.5625
84082,14.83,0.0,0.5625
84083,14.83,0.0,0.5625
84084,14.92,0.0,0.5625
84085,14.92,0.0,0.5625
84086,14.91,0.0,0.65625
84087,14.91,0.0,0.65625
84088,15.01,0.0,0.65625
84089,15.01,0.0,0.65625
84090,15.07,0.0,0.78125
84091,15.07,0.0,0.78125
84092,15.14,0.0,0.78125
84093,15.14,0.0,0.78125
84094,15.22,0.0,0.78125
84095,15.22,0.0,0.78125
84096,15.31,0.0,0.78125
84097,15.31,0.0,0.78125
84098,15.36,0.0,0.78125
